ts_utc,ts_local,zone_id,zone_name,load_mw
2025-08-19 01:00:00+00:00,2025-08-18 21:00:00-04:00,4003,VERMONT,593.93
2025-08-19 01:00:00+00:00,2025-08-18 21:00:00-04:00,4001,MAINE,1459.564
2025-08-19 01:00:00+00:00,2025-08-18 21:00:00-04:00,4005,RHODEISLAND,994.705
2025-08-19 01:00:00+00:00,2025-08-18 21:00:00-04:00,4002,NEWHAMPSHIRE,1335.05
2025-08-19 01:05:00+00:00,2025-08-18 21:05:00-04:00,4003,VERMONT,594.648
2025-08-19 01:05:00+00:00,2025-08-18 21:05:00-04:00,4002,NEWHAMPSHIRE,1324.224
2025-08-19 01:05:00+00:00,2025-08-18 21:05:00-04:00,4008,NEMASSBOST,2853.634
2025-08-19 01:05:00+00:00,2025-08-18 21:05:00-04:00,4007,WCMASS,1944.828
2025-08-19 01:05:00+00:00,2025-08-18 21:05:00-04:00,4001,MAINE,1454.983
2025-08-19 01:05:00+00:00,2025-08-18 21:05:00-04:00,4005,RHODEISLAND,989.128
2025-08-19 01:05:00+00:00,2025-08-18 21:05:00-04:00,4006,SEMASS,1715.865
2025-08-19 01:05:00+00:00,2025-08-18 21:05:00-04:00,4004,CONNECTICUT,3634.636
2025-08-19 01:10:00+00:00,2025-08-18 21:10:00-04:00,4001,MAINE,1446.214
2025-08-19 01:10:00+00:00,2025-08-18 21:10:00-04:00,4002,NEWHAMPSHIRE,1319.785
2025-08-19 01:10:00+00:00,2025-08-18 21:10:00-04:00,4003,VERMONT,593.458
2025-08-19 01:10:00+00:00,2025-08-18 21:10:00-04:00,4004,CONNECTICUT,3630.712
2025-08-19 01:10:00+00:00,2025-08-18 21:10:00-04:00,4005,RHODEISLAND,984.719
2025-08-19 01:10:00+00:00,2025-08-18 21:10:00-04:00,4006,SEMASS,1709.791
2025-08-19 01:10:00+00:00,2025-08-18 21:10:00-04:00,4007,WCMASS,1937.457
2025-08-19 01:10:00+00:00,2025-08-18 21:10:00-04:00,4008,NEMASSBOST,2860.43
2025-08-19 01:15:00+00:00,2025-08-18 21:15:00-04:00,4008,NEMASSBOST,2831.87
2025-08-19 01:15:00+00:00,2025-08-18 21:15:00-04:00,4006,SEMASS,1699.016
2025-08-19 01:15:00+00:00,2025-08-18 21:15:00-04:00,4007,WCMASS,1932.047
2025-08-19 01:15:00+00:00,2025-08-18 21:15:00-04:00,4004,CONNECTICUT,3606.394
2025-08-19 01:15:00+00:00,2025-08-18 21:15:00-04:00,4003,VERMONT,591.795
2025-08-19 01:15:00+00:00,2025-08-18 21:15:00-04:00,4002,NEWHAMPSHIRE,1310.939
2025-08-19 01:15:00+00:00,2025-08-18 21:15:00-04:00,4005,RHODEISLAND,974.829
2025-08-19 01:15:00+00:00,2025-08-18 21:15:00-04:00,4001,MAINE,1439.462
2025-08-19 01:20:00+00:00,2025-08-18 21:20:00-04:00,4008,NEMASSBOST,2815.909
2025-08-19 01:20:00+00:00,2025-08-18 21:20:00-04:00,4007,WCMASS,1915.618
2025-08-19 01:20:00+00:00,2025-08-18 21:20:00-04:00,4006,SEMASS,1679.981
2025-08-19 01:20:00+00:00,2025-08-18 21:20:00-04:00,4002,NEWHAMPSHIRE,1295.641
2025-08-19 01:20:00+00:00,2025-08-18 21:20:00-04:00,4004,CONNECTICUT,3588.486
2025-08-19 01:20:00+00:00,2025-08-18 21:20:00-04:00,4003,VERMONT,585.428
2025-08-19 01:20:00+00:00,2025-08-18 21:20:00-04:00,4001,MAINE,1426.415
2025-08-19 01:20:00+00:00,2025-08-18 21:20:00-04:00,4005,RHODEISLAND,970.219
2025-08-19 01:25:00+00:00,2025-08-18 21:25:00-04:00,4002,NEWHAMPSHIRE,1289.173
2025-08-19 01:25:00+00:00,2025-08-18 21:25:00-04:00,4003,VERMONT,582.441
2025-08-19 01:25:00+00:00,2025-08-18 21:25:00-04:00,4004,CONNECTICUT,3560.261
2025-08-19 01:25:00+00:00,2025-08-18 21:25:00-04:00,4005,RHODEISLAND,968.432
2025-08-19 01:25:00+00:00,2025-08-18 21:25:00-04:00,4006,SEMASS,1670.734
2025-08-19 01:25:00+00:00,2025-08-18 21:25:00-04:00,4007,WCMASS,1902.693
2025-08-19 01:25:00+00:00,2025-08-18 21:25:00-04:00,4008,NEMASSBOST,2810.529
2025-08-19 01:25:00+00:00,2025-08-18 21:25:00-04:00,4001,MAINE,1424.374
2025-08-19 01:30:00+00:00,2025-08-18 21:30:00-04:00,4008,NEMASSBOST,2794.75
2025-08-19 01:30:00+00:00,2025-08-18 21:30:00-04:00,4007,WCMASS,1898.799
2025-08-19 01:30:00+00:00,2025-08-18 21:30:00-04:00,4006,SEMASS,1660.013
2025-08-19 01:30:00+00:00,2025-08-18 21:30:00-04:00,4003,VERMONT,591.744
2025-08-19 01:30:00+00:00,2025-08-18 21:30:00-04:00,4005,RHODEISLAND,956.126
2025-08-19 01:30:00+00:00,2025-08-18 21:30:00-04:00,4004,CONNECTICUT,3530.929
2025-08-19 01:30:00+00:00,2025-08-18 21:30:00-04:00,4001,MAINE,1408.964
2025-08-19 01:30:00+00:00,2025-08-18 21:30:00-04:00,4002,NEWHAMPSHIRE,1282.278
2025-08-19 01:35:00+00:00,2025-08-18 21:35:00-04:00,4008,NEMASSBOST,2773.935
2025-08-19 01:35:00+00:00,2025-08-18 21:35:00-04:00,4007,WCMASS,1883.584
2025-08-19 01:35:00+00:00,2025-08-18 21:35:00-04:00,4006,SEMASS,1645.459
2025-08-19 01:35:00+00:00,2025-08-18 21:35:00-04:00,4001,MAINE,1405.295
2025-08-19 01:35:00+00:00,2025-08-18 21:35:00-04:00,4004,CONNECTICUT,3497.738
2025-08-19 01:35:00+00:00,2025-08-18 21:35:00-04:00,4003,VERMONT,582.9
2025-08-19 01:35:00+00:00,2025-08-18 21:35:00-04:00,4002,NEWHAMPSHIRE,1269.555
2025-08-19 01:35:00+00:00,2025-08-18 21:35:00-04:00,4005,RHODEISLAND,949.351
2025-08-19 01:40:00+00:00,2025-08-18 21:40:00-04:00,4001,MAINE,1396.879
2025-08-19 01:40:00+00:00,2025-08-18 21:40:00-04:00,4002,NEWHAMPSHIRE,1260.925
2025-08-19 01:40:00+00:00,2025-08-18 21:40:00-04:00,4004,CONNECTICUT,3480.393
2025-08-19 01:40:00+00:00,2025-08-18 21:40:00-04:00,4005,RHODEISLAND,949.005
2025-08-19 01:40:00+00:00,2025-08-18 21:40:00-04:00,4006,SEMASS,1639.355
2025-08-19 01:40:00+00:00,2025-08-18 21:40:00-04:00,4007,WCMASS,1877.304
2025-08-19 01:40:00+00:00,2025-08-18 21:40:00-04:00,4008,NEMASSBOST,2765.802
2025-08-19 01:40:00+00:00,2025-08-18 21:40:00-04:00,4003,VERMONT,584.279
2025-08-19 01:45:00+00:00,2025-08-18 21:45:00-04:00,4006,SEMASS,1631.978
2025-08-19 01:45:00+00:00,2025-08-18 21:45:00-04:00,4008,NEMASSBOST,2754.988
2025-08-19 01:45:00+00:00,2025-08-18 21:45:00-04:00,4007,WCMASS,1860.352
